GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
2	2	1	1	6	8	3.5	4	1	1.25	38	2.16	3
1	2	1	1	6	2	2	2.2	2.8	2.25	19	1.14	6
2	2	4	1	8	8	4	4	1.2	1.25	33	2.04	8
2	2	1	1	6	7	3.25	3.2	1.2	2.75	27	1.42	7
1	1	1	1	7	5	3	2.2	1.8	1.25	23	1.7	3
2	2	1	1	5	6	3.5	3.4	1.6	1.5	25	2	6
2	2	1	1	7	3	1.5	2	3.6	2.25	15	1.26	4
2	2	1	1	5	3	2.75	2.8	1.4	1.25	28	1.4	5
1	2	1	2	8	8	3	2.8	1.8	1.5	34	1.69	5
2	2	1	2	5	7	3.5	3.2	1	2	38	2.2	3
2	2	1	1	6	3	3.5	3.6	1	1.5	22	1.34	3
2	1	3	1	4	4	3.5	3.6	1	1.5	16	1.56	2
2	1	1	1	4	2	3.5	3.2	1	1.5	19	1.21	3
2	1	1	1	2	7	3.25	3	1.6	2.25	18	1.09	3
1	2	1	1	6	4	3.5	3.4	1.6	1.75	18	1.42	6
1	2	1	1	2	6	3.5	3	1.2	2	17	1.24	3
1	2	1	1	3	1	3	3	1	1	18	1.96	3
2	2	1	1	8	8	2.75	2.6	1	1	22	1.26	3
2	2	1	1	5	8	4	4	1	1	20	1.66	3
1	1	1	1	2	4	3.5	3.4	1.2	1.25	18	1.39	1
1	2	1	1	8	8	2.5	2.6	1.4	1.25	24	1.21	6
1	2	1	1	6	8	2.5	2.4	2	1.25	33	2.01	5
2	2	1	1	7	6	3.5	3.6	1.2	1.25	35	1.47	6
1	2	1	1	4	6	3.25	3	2	1.75	24	1.65	6
2	2	1	1	3	4	3	3.4	1.4	1.5	29	1.28	3
1	2	1	1	6	4	2.5	2.4	1.8	1.75	19	1.47	7
2	2	1	1	8	6	3	3	1.6	1.5	31	1.85	6
1	2	1	1	9	6	3.5	3.4	1.6	1	36	2.09	6
1	2	1	1	7	5	3.25	3.4	1.4	1.25	28	1.72	5
2	1	1	1	0	2	2.75	2.8	1.2	2	20	0.83	2
1	1	1	1	5	6	3.25	3.6	1	1.25	12	0.86	3
